biasName, value_uA, address
SYN_D_DAC_BIAS_GABAb_N, 0.000800, 0
SYN_D_DAC_BIAS_NMDA_N, 0.100, 1
SYN_A_BIAS_N, 0.000010, 2
SYN_A_VW0_N, 0.018, 3
SYN_A_THETA1_N, 0.001, 4
SYN_A_THETA2_P, 0.050, 5
SYN_A_PWEXT_P0, 0.012, 6
SYN_A_PWEXT_P1, 0.012, 7
DE_NMDA_GAIN_E_P, 0.000020, 8
DE_NMDA_GAIN_I_P, 0.000040, 9
DE_NMDA_TAU_E_P, 0.000005, 16
DE_NMDA_TAU_I_P, 0.000010, 17
DE_NMDA_VTHRESH_N, 0.0001, 27
DE_AMPA_GAIN_E_P, 0.000032, 10
DE_AMPA_GAIN_I_P, 0.000040, 11
DE_AMPA_TAU_E_P, 0.000008, 18
DE_AMPA_TAU_I_P, 0.000010, 19
DE_AMPA_W_N, 0.025, 24
DE_GABAb_GAIN_E_P, 0.000020, 12
DE_GABAb_GAIN_I_P, 0.000040, 13
DE_GABAb_TAU_E_P, 0.000005, 20
DE_GABAb_TAU_I_P, 0.000010, 21
DE_GABAb_W_N, 0.0001, 26
DE_GABAa_GAIN_E_P, 0.000020, 14
DE_GABAa_GAIN_I_P, 0.000040, 15
DE_GABAa_TAU_E_P, 0.000005, 22
DE_GABAa_TAU_I_P, 0.000010, 23
DE_GABAa_W_N, 0.008, 25
NEUR_SOIF_SPIKE_THR_N, 0.001, 28
NEUR_SOIF_REFR_N, 0.0001, 29
NEUR_SOIF_LEAK_P, 0.000005, 30
NEUR_SOIF_GAIN_P, 0.000020, 31
NEUR_SOAD_W_N, 0, 32
NEUR_SOAD_GAIN_P, 0.000020, 33
NEUR_SOAD_TAU_P, 0.000005, 34
NEUR_SOAD_PW_TAU_P, 0.500, 35
NEUR_STARVE_P, 0.001, 36
ST_CA_THR_HIGH_P, 0.000500, 40
ST_CA_THR_LOW_P, 0.000070, 41
ST_DPI_CA_GAIN_P, 0.000020, 47
ST_DPI_CA_PW_TAU_P, 0.250, 42
ST_DPI_CA_TAU_P, 0.000005, 43
ST_DPI_CA_W_N, 0.600, 44
ST_WTA_TAIL_BIAS_HIGH_N, 0.000500, 45
ST_WTA_TAIL_BIAS_LOW_N, 0.000020, 46
LB_WTA_TAIL_BIAS_VN, 0.100, 37
LB_ABS_STOP_WIDTH_VP, 0.000010, 38
LB_BUMP_TAIL_BIAS, 0.100, 39
C2F_REF_HIGH_P, 1.262, 48
C2F_REF_LOW_N, 0.021, 49
C2F_BIAS_N, 0.021, 50
C2F_HYS_P, 0, 51
C2F_PWLK_P, 1.262, 52		
BUFFER_P, 1, 53
