data(in decimal), ISI(10 us)
296,0
296,100
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
296,100
448,1000
448,1000
448,1000
448,100
448,1000
448,1000
448,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,100
296,10000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,100
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,100
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
296,1000
296,1000
296,1000
296,1000
448,1000
