data(in decimal), ISI(10 us)
264,0
264,100
264,1000
264,1000
264,1000
264,1000
264,100
264,1000
264,1000
264,1000
264,1000
448,1000
448,1000
448,1000
448,1000
448,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,100
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,100
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,10000
264,100
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
448,1000
448,1000
448,1000
448,1000
448,100
448,100
448,100
448,1000
448,1000
448,1000
448,100
448,1000
448,1000
448,1000
448,1000
448,1000
264,100
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,100
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,100
264,1000
264,100
448,1000
448,1000
448,1000
448,1000
448,100
448,1000
448,100
448,1000
448,1000
448,100
448,1000
448,1000
448,1000
448,1000
448,1000
448,1000
264,100
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,1000
264,100
264,1000
264,1000
264,1000
264,1000
264,100
264,100
264,100
264,100
264,10
448,100
