data(in decimal), ISI(10 us)
296,0
296,1000
296,1000
296,1000
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
296,1000
296,1000
296,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
264,1000
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
264,1000
448,0
