biasName, value_uA, transistorType, biasNo
NEUR_SPKTHR_N,0.001,1,0
NEUR_SOIF_REFR_N,0.0001,1,1
NEUR_SOIF_LEAK_P,0.000005,0,2
NEUR_SOIF_GAIN_P,0.00002,0,3
NEUR_SOAD_W_N,0,1,4
NEUR_SOAD_GAIN_P,0.00002,0,5
NEUR_SOAD_TAU_P,0.000005,0,6
NEUR_SOAD_PWTAU_P,0.5,0,7
NEUR_STARVE_P,0.001,0,8
BUFFER_IB_FC1,0.00025,1,9
BUFFER_IB_FC2,0.0005,1,10
BUFFER_IB_FC3,0.001,1,11
BUFFER_IB_FC4,0.002,1,12
BUFFER_IB_FC5,0.004,1,13
BUFFER_IB_FC6,0.008,1,14
BUFFER_IB_FC7,0.016,1,15
BUFFER_IB_FC8,0.032,1,16
BUFFER_IB_FC9,0.064,1,17
BUFFER_IB_FC10,0.128,1,18
BUFFER_IB_FC11,0.256,1,19
BUFFER_IB_FC12,0.00025,1,20
BUFFER_IB_FC13,0.00025,1,21
BUFFER_IB_FC14,0.00025,1,22
BUFFER_IB_FC15,0.00025,1,23
BUFFER_IB_FC16,0.00025,1,24
BUFFER_ADM_BIAS,1,0,25
BUFFER_GMTUNE_BIAS,1,0,26
BUFFER_LNA_BIAS,1,0,27
BUFFER_PGA_BIAS,1,0,28
ST_Spare N,0.001,1,30
ST_Spare N,0.001,1,31
ST_Spare N,0.001,1,32
ST_Spare P,0.001,0,33
ST_Spare P,0.001,0,34
ST_Spare P,0.001,0,35
ST_Spare P,0.001,0,36
