
data, ts (in micros)
12,832983,
31,833004,
2,833024,
22,833045,
15,833066,
26,833087,
4,833108,
17,833129,
8,833150,
28,833171,
1,833192,
19,833212,
12,833233,
10,833254,
15,870971,
2,936119,
3,937422,
17,981599,
1,1004694,
15,1041761,
2,1045978,
3,1047610,
19,1053003,
2,1141140,
3,1142500,
2,1245431,
3,1247745,
15,1294109,
2,1345801,
3,1347553,
17,1380509,
2,1441110,
3,1442507,
2,1535826,
3,1537606,
15,1545714,
19,1581323,
2,1631186,
3,1632482,
2,1730879,
3,1732290,
3,1733229,
15,1792266,
2,1810701,
3,1812726,
2,1900614,
3,1902950,
2,1986245,
3,1987467,
19,2025210,
17,2038117,
2,2085596,
3,2087646,
12,2090270,
2,2175777,
3,2177394,
15,2208421,
1,2246354,
2,2275670,
3,2277740,
2,2366057,
3,2367493,
17,2382755,
2,2460806,
3,2462822,
19,2482576,
15,2510885,
2,2555859,
3,2557278,
2,2655834,
3,2657601,
2,2750813,
3,2752594,
2,2840897,
3,2842486,
19,2842755,
15,2851948,
17,2863355,
2,2935664,
3,2937714,
2,3030633,
3,3032569,
1,3061009,
2,3121045,
3,3122631,
15,3149003,
2,3215979,
3,3217684,
17,3271027,
19,3286610,
2,3305767,
3,3307457,
2,3401092,
3,3402503,
15,3462647,
2,3495920,
3,3497552,
3,3498353,
2,3570932,
3,3572605,
19,3572630,
3,3573473,
2,3641341,
3,3642535,
3,3643490,
2,3715673,
3,3717624,
17,3742074,
2,3805862,
3,3807573,
1,3835091,
15,3866500,
2,3900754,
3,3902365,
3,3903414,
2,3975601,
3,3977547,
19,3992604,
2,4066181,
3,4067354,
2,4155865,
3,4157489,
3,4158251,
2,4230905,
3,4232420,
19,4281701,
2,4326031,
3,4327439,
3,4328350,
15,4342817,
2,4395771,
3,4397465,
17,4413601,
2,4495549,
3,4497611,
2,4580913,
3,4582538,
2,4675721,
3,4677636,
15,4758722,
19,4761012,
2,4765541,
3,4767451,
1,4842307,
2,4860591,
3,4862276,
2,4955495,
3,4957678,
2,5040956,
3,5042255,
3,5043358,
17,5047858,
19,5087371,
2,5110623,
3,5112484,
2,5200673,
3,5202370,
15,5220035,
2,5291183,
3,5292341,
2,5380563,
3,5382594,
2,5470626,
3,5472451,
19,5476747,
