data, ts (in micros)
18,532033,
3,532054,
26,532075,
15,532096,
20,532117,
6,532138,
28,532159,
8,532180,
18,532200,
0,532221,
30,532242,
12,532263,
22,532284,
4,532305,
10,532326,
15,586676,
2,598541,
3,600014,
3,601135,
15,632721,
2,663427,
3,665333,
2,738206,
3,740392,
2,813559,
3,815117,
15,890907,
2,893358,
3,895432,
2,968630,
3,970241,
2,1048877,
3,1050054,
15,1120319,
2,1128696,
3,1130275,
2,1218199,
3,1220550,
2,1298161,
3,1300221,
12,1365409,
2,1378596,
3,1380366,
15,1417183,
2,1453827,
3,1455388,
2,1528458,
3,1530542,
2,1603420,
3,1605065,
3,1606119,
15,1613864,
2,1668129,
3,1670409,
2,1748260,
3,1750667,
15,1807075,
2,1823470,
3,1825122,
12,1835515,
2,1903270,
3,1905213,
2,1983455,
3,1985242,
2,2053445,
3,2055001,
15,2061515,
18,2089827,
2,2134041,
3,2135048,
8,2187074,
2,2218460,
3,2220346,
2,2293548,
3,2295184,
3,2296217,
15,2336542,
2,2363556,
3,2365004,
2,2448194,
3,2450259,
10,2495172,
2,2528740,
3,2530194,
0,2608545,
2,2613256,
3,2615197,
15,2615623,
12,2650292,
2,2693300,
3,2695213,
2,2783093,
3,2785600,
2,2853724,
3,2854971,
3,2856083,
2,2923225,
3,2925292,
15,2945042,
2,3008155,
3,3010426,
2,3093424,
3,3095056,
2,3178860,
3,3180106,
15,3232380,
2,3268132,
3,3270402,
2,3348548,
3,3350429,
2,3423618,
3,3425128,
12,3478018,
2,3513439,
3,3515063,
2,3598824,
3,3600375,
15,3601049,
2,3673856,
3,3675051,
3,3676042,
2,3743407,
3,3745222,
2,3828264,
3,3830416,
15,3834488,
8,3839944,
2,3908299,
3,3910278,
2,3988413,
3,3990270,
2,4078297,
3,4080393,
15,4122500,
2,4163060,
3,4165324,
2,4248258,
3,4250240,
2,4333267,
3,4335492,
2,4418552,
3,4420208,
2,4498693,
3,4499783,
2,4588261,
3,4589824,
3,4590939,
2,4658418,
3,4659965,
15,4661199,
2,4743127,
3,4745477,
2,4828268,
3,4830181,
12,4898440,
2,4918371,
3,4920313,
15,4940315,
2,5003154,
3,5004906,
2,5093407,
3,5094904,
3,5095825,
2,5163331,
3,5165252,
2,5253327,
3,5255307,
2,5338379,
3,5340155,
2,5428040,
3,5430313,
15,5459132,
2,5513253,
3,5515169,
2,5598819,
3,5600220,
2,5678512,
3,5680195,
2,5763022,
3,5765425,
2,5843557,
3,5845048,
2,5933445,
3,5935206,
15,5936466,
2,6008655,
3,6010123,
2,6098447,
3,6100072,
2,6188109,
3,6190367,
2,6268524,
3,6270267,
2,6348356,
3,6349846,
3,6350475,
2,6423387,
3,6424964,
3,6425964,
2,6493183,
3,6495370,
15,6498139,
2,6578406,
3,6579923,
2,6673639,
3,6675450,
2,6758363,
3,6760368,
2,6843255,
3,6845237,
2,6928481,
3,6930094,
15,7009150,
2,7013040,
3,7015106,
2,7093813,
3,7094977,
2,7183452,
3,7185224,
2,7268347,
3,7270462,
2,7348593,
3,7350035,
2,7438230,
3,7440218,
data, ts (in micros)
12,721209,
21,721230,
2,721251,
3,721272,
3,721293,
3,721314,
3,721335,
3,721356,
3,721377,
3,721398,
3,721418,
3,721439,
3,721460,
3,721481,
3,721502,
3,721523,
3,721544,
3,721565,
