data, ts (in micros)
2,783661,
19,783682,
6,783702,
31,783723,
8,783744,
20,783765,
2,783786,
26,783807,
12,783828,
17,783849,
4,783870,
28,783891,
10,783911,
22,783932,
1,783953,
14,783974,
8,783995,
8,789184,
12,805051,
17,809155,
31,837956,
17,876422,
1,881952,
31,939079,
17,947438,
17,1027129,
31,1066887,
31,1183149,
17,1185414,
1,1263112,
17,1286721,
17,1344042,
31,1377558,
2,1467403,
17,1467719,
31,1521206,
17,1550666,
12,1569463,
1,1628272,
18,1629841,
17,1662994,
31,1699079,
17,1798357,
31,1859992,
1,1898503,
17,1937407,
2,1957514,
12,1975873,
8,2066588,
31,2080038,
1,2083111,
17,2088928,
10,2103534,
17,2203274,
31,2298687,
17,2348548,
12,2447093,
2,2468523,
20,2485904,
31,2499451,
17,2515039,
1,2520431,
28,2534970,
17,2656561,
4,2679563,
17,2731011,
31,2745268,
8,2761963,
12,2905602,
17,2918477,
6,2936909,
2,2992437,
1,3017649,
31,3022546,
10,3035420,
17,3086079,
17,3217000,
31,3281929,
17,3360199,
1,3419440,
12,3480526,
17,3512597,
31,3523347,
2,3535021,
17,3581124,
8,3700177,
17,3753516,
31,3799818,
1,3800061,
17,3961608,
31,4059057,
2,4091324,
12,4098707,
17,4239668,
1,4341944,
17,4346808,
31,4422107,
17,4486530,
17,4623173,
17,4653295,
2,4664867,
31,4722024,
17,4838013,
1,4960464,
31,5045446,
17,5067298,
12,5170789,
2,5247849,
17,5255843,
8,5421363,
1,5441578,
31,5444069,
17,5500227,
17,5664215,
2,5829940,
31,5838329,
17,5866374,
17,6179545,
1,6199038,
17,6254669,
31,6420614,
2,6429221,
17,6459101,
17,6843230,
31,6925149,
17,6962559,
2,7021585,
17,7101587,
31,7285476,
17,7325390,
1,7337515,
17,7491373,
2,7625587,
17,7738769,
31,7941338,
1,7942457,
17,8082921,
2,8246364,
17,8416928,
31,8439244,
17,8732453,
2,8853032,
1,8932300,
17,9145224,
31,9225344,
data, ts (in micros)
2,783661,
19,783682,
6,783702,
31,783723,
8,783744,
20,783765,
2,783786,
26,783807,
12,783828,
17,783849,
4,783870,
28,783891,
10,783911,
22,783932,
1,783953,
14,783974,
8,783995,
8,789184,
12,805051,
17,809155,
31,837956,
17,876422,
1,881952,
31,939079,
17,947438,
17,1027129,
31,1066887,
31,1183149,
17,1185414,
1,1263112,
17,1286721,
17,1344042,
31,1377558,
2,1467403,
17,1467719,
31,1521206,
17,1550666,
12,1569463,
1,1628272,
18,1629841,
17,1662994,
31,1699079,
17,1798357,
31,1859992,
1,1898503,
17,1937407,
2,1957514,
12,1975873,
8,2066588,
31,2080038,
1,2083111,
17,2088928,
10,2103534,
17,2203274,
31,2298687,
17,2348548,
12,2447093,
2,2468523,
20,2485904,
31,2499451,
17,2515039,
1,2520431,
28,2534970,
17,2656561,
4,2679563,
17,2731011,
31,2745268,
8,2761963,
12,2905602,
17,2918477,
6,2936909,
2,2992437,
1,3017649,
31,3022546,
10,3035420,
17,3086079,
17,3217000,
31,3281929,
17,3360199,
1,3419440,
12,3480526,
17,3512597,
31,3523347,
2,3535021,
17,3581124,
8,3700177,
17,3753516,
31,3799818,
1,3800061,
17,3961608,
31,4059057,
2,4091324,
12,4098707,
17,4239668,
1,4341944,
17,4346808,
31,4422107,
17,4486530,
17,4623173,
17,4653295,
2,4664867,
31,4722024,
17,4838013,
1,4960464,
31,5045446,
17,5067298,
12,5170789,
2,5247849,
17,5255843,
8,5421363,
1,5441578,
31,5444069,
17,5500227,
17,5664215,
2,5829940,
31,5838329,
17,5866374,
17,6179545,
1,6199038,
17,6254669,
31,6420614,
2,6429221,
17,6459101,
17,6843230,
31,6925149,
17,6962559,
2,7021585,
17,7101587,
31,7285476,
17,7325390,
1,7337515,
17,7491373,
2,7625587,
17,7738769,
31,7941338,
1,7942457,
17,8082921,
2,8246364,
17,8416928,
31,8439244,
17,8732453,
2,8853032,
1,8932300,
17,9145224,
31,9225344,
